Date,Open,High,Low,Close,Volume,Change Pct
2005-06-14,24900.0,25850.0,24335.0,25703.0,236,3.34
2005-06-15,25450.0,25600.0,24970.0,25169.0,0,-2.08
2005-06-16,26580.0,26650.0,26330.0,26546.0,237,5.47
2005-06-17,26510.0,27005.0,26510.0,26842.0,131,1.12
2005-06-20,26750.0,26840.0,26490.0,26802.0,70,-0.15
2005-06-21,26700.0,26800.0,26300.0,26507.0,123,-1.1
2005-06-22,26400.0,26510.0,26000.0,26300.0,146,-0.78
2005-06-23,26250.0,26400.0,25410.0,25464.0,167,-3.18
2005-06-24,25500.0,25590.0,25300.0,25517.0,88,0.21
2005-06-27,25260.0,25870.0,25150.0,25852.0,103,1.31
2005-06-28,25950.0,26000.0,25650.0,25806.0,177,-0.18
2005-06-29,25800.0,26000.0,25550.0,25589.0,310,-0.84
2005-06-30,25600.0,25800.0,25500.0,25641.0,242,0.2
2005-07-01,25700.0,25750.0,25620.0,25736.0,42,0.37
2005-07-04,25400.0,25560.0,25350.0,25409.0,65,-1.27
2005-07-05,25330.0,25450.0,24880.0,24980.0,166,-1.69
2005-07-06,24800.0,24890.0,24630.0,24868.0,60,-0.45
2005-07-07,24550.0,24870.0,24450.0,24765.0,68,-0.41
2005-07-08,24800.0,24880.0,24600.0,24695.0,74,-0.28
2005-07-11,24800.0,25420.0,24800.0,25361.0,191,2.7
2005-07-12,25400.0,25850.0,25390.0,25865.0,194,1.99
2005-07-13,25870.0,26400.0,25870.0,26266.0,246,1.55
2005-07-14,26500.0,26620.0,26100.0,26227.0,163,-0.15
2005-07-15,26010.0,26010.0,25450.0,25494.0,174,-2.79
2005-07-18,25550.0,25700.0,25310.0,25635.0,110,0.55
2005-07-19,25300.0,25470.0,25210.0,25432.0,81,-0.79
2005-07-20,25200.0,26000.0,25100.0,25907.0,181,1.87
2005-07-21,25900.0,26195.0,25700.0,25983.0,127,0.29
2005-07-22,25700.0,25900.0,25300.0,25453.0,67,-2.04
2005-07-25,25300.0,25300.0,24410.0,24550.0,203,-3.55
2005-07-26,24300.0,24900.0,24150.0,24863.0,220,1.27
2005-07-27,25150.0,25370.0,24790.0,25325.0,169,1.86
2005-07-28,25500.0,26300.0,25500.0,26214.0,261,3.51
2005-07-29,26280.0,26500.0,26080.0,26133.0,210,-0.31
2005-08-01,25950.0,26500.0,25900.0,26500.0,99,1.4
2005-08-02,26300.0,26925.0,26300.0,26930.0,173,1.62
2005-08-03,27000.0,27395.0,26630.0,26824.0,206,-0.39
2005-08-04,26590.0,27000.0,26490.0,26535.0,235,-1.08
2005-08-05,26750.0,26900.0,26400.0,26569.0,135,0.13
2005-08-08,26800.0,27040.0,26630.0,26719.0,140,0.56
2005-08-09,26800.0,27330.0,26730.0,27292.0,192,2.14
2005-08-10,27650.0,27700.0,26960.0,27060.0,185,-0.85
2005-08-11,27050.0,27450.0,26350.0,26575.0,441,-1.79
2005-08-12,25850.0,26850.0,25750.0,26850.0,240,1.03
2005-08-15,27050.0,27500.0,26910.0,27390.0,120,2.01
2005-08-16,27370.0,27630.0,27000.0,27068.0,156,-1.18
2005-08-17,27110.0,27400.0,27060.0,27400.0,0,1.23
2005-08-18,27670.0,27800.0,27180.0,27297.0,148,-0.38
2005-08-19,27400.0,27360.0,26200.0,26948.0,103,-1.28
2005-08-22,27360.0,27730.0,27270.0,27725.0,138,2.88
2005-08-23,27700.0,27700.0,27010.0,27103.0,107,-2.24
2005-08-24,26990.0,27180.0,26900.0,27004.0,183,-0.37
2005-08-25,27260.0,27910.0,27160.0,27796.0,201,2.93
2005-08-26,27850.0,27850.0,27360.0,27419.0,118,-1.36
2005-08-29,27280.0,27800.0,27280.0,27798.0,82,1.38
2005-08-30,27840.0,28070.0,27680.0,27919.0,308,0.44
2005-08-31,28150.0,28500.0,28150.0,28432.0,214,1.84
2005-09-01,28450.0,28690.0,28190.0,28286.0,67,-0.51
2005-09-02,28320.0,28680.0,28300.0,28683.0,89,1.4
2005-09-05,28780.0,28900.0,28760.0,28847.0,48,0.57
2005-09-06,28900.0,29200.0,28740.0,29186.0,117,1.18
2005-09-08,29050.0,29250.0,29020.0,29098.0,46,-0.3
2005-09-09,29200.0,29710.0,29170.0,29630.0,397,1.83
2005-09-12,29520.0,29570.0,29300.0,29355.0,216,-0.93
2005-09-13,29340.0,29400.0,29090.0,29153.0,218,-0.69
2005-09-14,29140.0,29380.0,29140.0,29338.0,158,0.63
2005-09-15,29520.0,29830.0,29485.0,29608.0,137,0.92
2005-09-16,29560.0,30060.0,29560.0,30051.0,345,1.5
2005-09-19,30000.0,30360.0,29950.0,30264.0,122,0.71
2005-09-20,30400.0,30600.0,30090.0,30200.0,198,-0.21
2005-09-21,30150.0,31130.0,30150.0,31079.0,213,2.91
2005-09-22,30950.0,31010.0,30650.0,30948.0,184,-0.42
2005-09-23,30850.0,31550.0,30850.0,31495.0,204,1.77
2005-09-26,31600.0,31650.0,31130.0,31264.0,179,-0.73
2005-09-27,31300.0,31400.0,30680.0,30935.0,392,-1.05
2005-09-28,31200.0,31520.0,31200.0,31480.0,286,1.76
2005-09-29,31550.0,31600.0,30950.0,31280.0,218,-0.64
2005-09-30,31300.0,31560.0,31150.0,31589.0,152,0.99
2005-10-03,31630.0,32040.0,31480.0,31827.0,1690,0.75
2005-10-04,31790.0,32010.0,31220.0,31323.0,2233,-1.58
2005-10-05,31110.0,31180.0,30100.0,30168.0,2458,-3.69
2005-10-06,29960.0,30170.0,28880.0,29074.0,2912,-3.63
2005-10-07,29210.0,30210.0,29070.0,29895.0,2022,2.82
2005-10-10,30100.0,30540.0,30100.0,30255.0,2744,1.2
2005-10-11,30620.0,30835.0,30380.0,30535.0,1866,0.93
2005-10-13,29650.0,29900.0,29380.0,29657.0,0,-2.88
2005-10-14,30350.0,30750.0,29560.0,30378.0,2744,2.43
2005-10-17,30210.0,30960.0,30210.0,30602.0,1970,0.74
2005-10-18,30710.0,30920.0,29600.0,29719.0,3262,-2.89
2005-10-19,29250.0,30140.0,29130.0,30017.0,1791,1.0
2005-10-20,30520.0,30570.0,28480.0,28575.0,2263,-4.8
2005-10-21,28900.0,29610.0,28680.0,29469.0,2913,3.13
2005-10-24,29620.0,30250.0,29400.0,29980.0,2970,1.73
2005-10-25,30060.0,30550.0,29770.0,30051.0,3650,0.24
2005-10-26,30100.0,30400.0,29450.0,30113.0,4671,0.21
2005-10-27,29900.0,30220.0,29330.0,29390.0,2065,-2.4
2005-10-28,29530.0,29965.0,29500.0,29927.0,1745,1.83
2005-10-31,29700.0,30640.0,29700.0,30612.0,3187,2.29
2005-11-01,30580.0,31400.0,30550.0,31347.0,2270,2.4
2005-11-03,31600.0,31915.0,31450.0,31554.0,3128,0.66
2005-11-04,31370.0,31630.0,30960.0,31151.0,1000,-1.28
2005-11-07,31370.0,31750.0,31100.0,31391.0,3150,0.77
2005-11-08,31400.0,31500.0,30900.0,31244.0,2629,-0.47
2005-11-09,31400.0,31710.0,30760.0,30930.0,3447,-1.0
2005-11-10,30800.0,31060.0,30470.0,30939.0,3335,0.03
2005-11-11,31250.0,31280.0,30700.0,30787.0,4220,-0.49
2005-11-14,30400.0,30650.0,30160.0,30400.0,2219,-1.26
2005-11-16,30600.0,30820.0,30480.0,30740.0,3869,1.12
2005-11-17,30950.0,31550.0,30920.0,31465.0,6204,2.36
2005-11-18,31300.0,31470.0,31100.0,31282.0,4812,-0.58
2005-11-21,31480.0,31650.0,31170.0,31265.0,5983,-0.05
2005-11-22,31150.0,31750.0,30650.0,31649.0,5639,1.23
2005-11-23,31800.0,32210.0,31790.0,32103.0,6347,1.43
2005-11-24,31850.0,32390.0,31840.0,32175.0,4927,0.22
2005-11-25,32025.0,32245.0,32000.0,32067.0,3133,-0.34
2005-11-28,32260.0,32550.0,31500.0,31567.0,7296,-1.56
2005-11-29,31600.0,31940.0,31530.0,31676.0,7608,0.35
2005-11-30,31600.0,32100.0,31425.0,32006.0,7734,1.04
2005-12-01,31980.0,32850.0,31980.0,32816.0,4978,2.53
2005-12-02,32730.0,33050.0,32730.0,32919.0,5078,0.31
2005-12-05,32940.0,33030.0,32610.0,32766.0,5204,-0.46
2005-12-06,32950.0,33470.0,32920.0,33379.0,6766,1.87
2005-12-07,33300.0,33300.0,32690.0,32913.0,7057,-1.4
2005-12-08,32790.0,33080.0,32500.0,32644.0,7287,-0.82
2005-12-09,32680.0,33050.0,32600.0,32939.0,5929,0.9
2005-12-12,33190.0,33365.0,32860.0,32941.0,5641,0.01
2005-12-13,33070.0,33480.0,32860.0,33333.0,5960,1.19
2005-12-14,33410.0,33670.0,33300.0,33650.0,0,0.95
2005-12-15,34400.0,34620.0,33780.0,33913.0,6482,0.78
2005-12-16,33920.0,34270.0,33920.0,34015.0,5247,0.3
2005-12-19,34100.0,34150.0,33540.0,33600.0,6387,-1.22
2005-12-20,33700.0,33820.0,33410.0,33677.0,6608,0.23
2005-12-21,33790.0,34270.0,33790.0,34130.0,8042,1.35
2005-12-22,34100.0,34300.0,34010.0,34214.0,3843,0.25
2005-12-23,34140.0,34230.0,33830.0,33898.0,2218,-0.92
2005-12-26,33900.0,33960.0,33800.0,33932.0,978,0.1
2005-12-27,34080.0,34195.0,33760.0,33838.0,2293,-0.28
2005-12-28,33900.0,33950.0,33460.0,33557.0,1442,-0.83
